IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Ethiopia,,ETB,04/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,05/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,06/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,07/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,08/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,09/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,10/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,11/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,12/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,13/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,14/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,15/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,16/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,17/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,18/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,19/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,20/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,21/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,22/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,23/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,24/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,25/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,26/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,27/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,28/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,29/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,30/06/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,01/07/1993,4.92,Trading Economics
Official,Ethiopia,,ETB,02/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,05/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,06/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,07/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,08/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,09/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,12/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,13/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,14/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,15/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,16/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,19/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,20/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,21/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,22/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,23/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,26/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,27/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,28/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,29/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,30/07/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,02/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,03/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,04/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,05/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,06/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,09/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,10/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,11/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,12/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,13/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,16/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,17/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,18/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,19/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,20/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,23/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,24/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,25/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,26/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,27/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,30/08/1993,4.93,Trading Economics
Official,Ethiopia,,ETB,31/08/1993,4.93,Trading Economics
